Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, ул. Буйко, 20А",Железнодорожный район,1,31.4,5,NaN,2.7,совмещенный,NaN,евро,возможна ипотека,кирпичный,6,0,2007,7 апреля в 11:42,4500000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 37",Советский район,2,56.5,4,балкон,2.5,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,1998,7 апреля в 14:49,7600000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 24",Октябрьский район,2,51.1,2,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1979,2 апреля в 13:41,7000000
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 40",Советский район,2,44.7,3,балкон,NaN,совмещенный,на солнечную сторону,косметический,возможна ипотека,панельный,5,0,1969,2 апреля в 18:17,7500000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 40",Октябрьский район,3,66.6,1,лоджия,2.6,раздельный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1996,7 апреля в 11:29,7700000
"Республика Бурятия, Улан-Удэ, пер. Толстого, 2",Советский район,2,54,1,балкон,2.5,раздельный,во двор,требует ремонта,продажа доли,панельный,9,1,1996,7 апреля в 09:10,3400000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 59",Октябрьский район,студия,28,5,балкон,20 м,совмещенный,во двор,евро,возможна ипотека,кирпичный,5,1,1996,1 апреля в 21:05,3799000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 46",Советский район,2,43,5,лоджия,NaN,совмещенный,во двор,евро,возможна ипотека,панельный,5,0,1983,1 апреля в 18:49,6000000
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 7А",Октябрьский район,2,41.2,1,балкон,2.3,совмещенный,во двор,косметический,возможна ипотека,панельный,4,0,1983,7 апреля в 10:01,5700000
"кв-л 115, стр. 17",Октябрьский район,студия,27.8,2,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1983,7 апреля в 08:37,3400000
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 17",Октябрьский район,2,45,4,балкон,NaN,совмещенный,на улицу,евро,возможна ипотека,кирпичный,5,0,1965,1 апреля в 12:25,6300000
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 32А",Железнодорожный район,1,30.4,2,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,кирпичный,5,0,1978,1 апреля в 22:56,5000000
"Республика Бурятия, Улан-Удэ, ул. Комарова, 21",Железнодорожный район,4,77,5,лоджия,NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1987,7 апреля в 13:04,7490000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 90В",Октябрьский район,3,77.4,7,лоджия,NaN,раздельный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,12,1,2024,7 апреля в 18:19,8300000
"мкр. 148-А, стр. 1",Октябрьский район,3,78.2,8,лоджия,2.7,раздельный,"во двор, на солнечную сторону",требует ремонта,возможна ипотека,блочный,16,1,2024,7 апреля в 01:38,5600000
